FIPS Code,Geographic Area,AIGE
2060,Bristol Bay Borough,-0.816102
2068,Denali Borough,-1.786892
2070,Dillingham Census Area,-3.06179
2090,Fairbanks North Star Borough,-0.3741544
2100,Haines Borough,-1.045993
2105,Hoonah-Angoon Census Area,0.3705505
2110,Juneau City and Borough,0.3748784
2122,Kenai Peninsula Borough,-0.5016369
2130,Ketchikan Gateway Borough,-0.5065369
2150,Kodiak Island Borough,-0.8339964
2158,Kusilvak Census Area,-0.6726975
2164,Lake and Peninsula Borough,-0.8727115
2170,Matanuska-Susitna Borough,-0.2462227
2180,Nome Census Area,2.715183
2185,North Slope Borough,-1.47474
2188,Northwest Arctic Borough,2.844903
2195,Petersburg Borough,-3.024951
2198,Prince of Wales-Hyder Census Area,-0.6674522
2220,Sitka City and Borough,-1.206666
2230,Skagway Municipality,-1.642276
2240,Southeast Fairbanks Census Area,1.889208
2261,Valdez-Cordova Census Area,-1.525191
2275,Wrangell City and Borough,-2.163131
2282,Yakutat City and Borough,-0.5647738
2290,Yukon-Koyukuk Census Area,3.140746
4000,Arizona,0.9088002
4001,Apache County,2.325514
4003,Cochise County,0.8613644
4005,Coconino County,-0.2298305
4007,Gila County,-0.6104304
4009,Graham County,0.6650406
4011,Greenlee County,-3.617044
4012,La Paz County,-0.050122
4013,Maricopa County,0.9336246
4015,Mohave County,-0.1346637
4017,Navajo County,0.5995815
4019,Pima County,0.8283342
4021,Pinal County,0.3895851
4023,Santa Cruz County,-0.9670516
4025,Yavapai County,-0.0219391
4027,Yuma County,-1.021152
5000,Arkansas,0.2430259
5001,Arkansas County,-0.3089388
5003,Ashley County,1.569059
5005,Baxter County,1.544387
5007,Benton County,0.4942404
5009,Boone County,0.0815986
5011,Bradley County,-0.7999387
5013,Calhoun County,-0.8669834
5015,Carroll County,-0.8334183
5017,Chicot County,-0.7417227
5019,Clark County,1.200896
5021,Clay County,-1.05773
5023,Cleburne County,1.373606
5025,Cleveland County,0.9567203
5027,Columbia County,-0.6167367
5029,Conway County,1.157737
5031,Craighead County,-0.1129257
5033,Crawford County,0.05022
5035,Crittenden County,-0.0467343
5037,Cross County,0.0002297
5039,Dallas County,-2.776741
5041,Desha County,-0.2465958
5043,Drew County,0.9420977
5045,Faulkner County,0.3582212
5047,Franklin County,0.5261148
5049,Fulton County,-0.6952922
5051,Garland County,0.2424662
5053,Grant County,-1.701272
5055,Greene County,0.4557584
5057,Hempstead County,2.068394
5059,Hot Spring County,1.263164
5061,Howard County,1.989296
5063,Independence County,-0.2189334
5065,Izard County,1.673775
5067,Jackson County,0.5141554
5069,Jefferson County,0.8384994
5071,Johnson County,1.661813
5073,Lafayette County,0.0530177
5075,Lawrence County,0.1289226
5077,Lee County,0.6714036
5079,Lincoln County,-2.157956
5081,Little River County,0.4126382
5083,Logan County,-1.042904
5085,Lonoke County,0.3408749
5087,Madison County,-1.408683
5089,Marion County,-1.617299
5091,Miller County,-0.3514313
5093,Mississippi County,-1.048406
5095,Monroe County,0.0951928
5097,Montgomery County,-2.34705
5099,Nevada County,-0.3806181
5101,Newton County,3.226693
5103,Ouachita County,1.618598
5105,Perry County,-1.698376
5107,Phillips County,2.348859
5109,Pike County,0.90951
5111,Poinsett County,2.032707
5113,Polk County,0.4492548
5115,Pope County,-0.6793282
5117,Prairie County,-0.8828939
5119,Pulaski County,1.009192
5121,Randolph County,1.650785
5123,St. Francis County,0.7806879
5125,Saline County,-0.5755793
5127,Scott County,-1.597325
5129,Searcy County,1.265411
5131,Sebastian County,0.4003395
5133,Sevier County,2.42839
5135,Sharp County,1.535522
5137,Stone County,1.011215
5139,Union County,-0.3513529
5141,Van Buren County,-0.8302271
5143,Washington County,-0.0025898
5145,White County,0.515352
5147,Woodruff County,0.0660676
5149,Yell County,-1.020333
6000,California,1.028286
6001,Alameda County,1.347146
6003,Alpine County,-1.477156
6005,Amador County,-0.4450736
6007,Butte County,0.590818
6009,Calaveras County,-0.9792489
6011,Colusa County,0.690569
6013,Contra Costa County,0.9736545
6015,Del Norte County,-0.2263806
6017,El Dorado County,0.4658881
6019,Fresno County,0.0376222
6021,Glenn County,-1.080643
6023,Humboldt County,0.736424
6025,Imperial County,-0.6152348
6027,Inyo County,-1.260334
6029,Kern County,-0.5665412
6031,Kings County,-0.5597121
6033,Lake County,1.435268
6035,Lassen County,1.893984
6037,Los Angeles County,1.266307
6039,Madera County,-1.65042
6041,Marin County,0.8926214
6043,Mariposa County,-0.4155879
6045,Mendocino County,-0.3748482
6047,Merced County,-0.3931176
6049,Modoc County,1.008934
6051,Mono County,-2.053624
6053,Monterey County,-1.942871
6055,Napa County,-0.6777727
6057,Nevada County,0.4116487
6059,Orange County,0.9908797
6061,Placer County,0.5095767
6063,Plumas County,0.1996332
6065,Riverside County,-0.0689461
6067,Sacramento County,1.056343
6069,San Benito County,-2.110897
6071,San Bernardino County,0.2020231
6073,San Diego County,1.175884
6075,San Francisco County,2.381225
6077,San Joaquin County,-0.33886
6079,San Luis Obispo County,-0.1660248
6081,San Mateo County,1.646901
6083,Santa Barbara County,0.2667122
6085,Santa Clara County,2.246738
6087,Santa Cruz County,0.6707994
6089,Shasta County,0.6254826
6091,Sierra County,1.744881
6093,Siskiyou County,-0.5224125
6095,Solano County,0.5570935
6097,Sonoma County,0.3734579
6099,Stanislaus County,-0.034023
6101,Sutter County,-0.7319637
6103,Tehama County,-0.5969545
6105,Trinity County,0.2205565
6107,Tulare County,-1.032978
6109,Tuolumne County,-0.7763041
6111,Ventura County,0.8192025
6113,Yolo County,-0.151668
6115,Yuba County,0.9920512
8000,Colorado,0.9809595
8001,Adams County,-0.6084914
8003,Alamosa County,0.1445273
8005,Arapahoe County,1.61296
8007,Archuleta County,-0.6524026
8009,Baca County,-1.46665
8011,Bent County,1.322433
8013,Boulder County,1.936633
8014,Broomfield County,1.980261
8015,Chaffee County,-0.3969555
8017,Cheyenne County,-0.6419132
8019,Clear Creek County,-2.186088
8021,Conejos County,2.585649
8023,Costilla County,-1.163389
8025,Crowley County,-3.617044
8027,Custer County,-2.088932
8029,Delta County,-0.2072074
8031,Denver County,1.128774
8033,Dolores County,-1.611433
8035,Douglas County,1.312082
8037,Eagle County,-1.386134
8039,Elbert County,0.2529217
8041,El Paso County,1.155413
8043,Fremont County,-0.6508749
8045,Garfield County,-0.0419719
8047,Gilpin County,-2.639809
8049,Grand County,-1.977499
8051,Gunnison County,-1.548773
8053,Hinsdale County,-2.271289
8055,Huerfano County,0.2117177
8057,Jackson County,-2.674081
8059,Jefferson County,0.6856716
8061,Kiowa County,-0.9389803
8063,Kit Carson County,-0.8104207
8065,Lake County,-2.598811
8067,La Plata County,-0.0696982
8069,Larimer County,0.4840733
8071,Las Animas County,0.7870209
8073,Lincoln County,-0.2292205
8075,Logan County,0.2543369
8077,Mesa County,-0.2439338
8079,Mineral County,-1.674345
8081,Moffat County,-0.9335648
8083,Montezuma County,0.2100108
8085,Montrose County,-0.2929772
8087,Morgan County,-1.283477
8089,Otero County,1.194712
8091,Ouray County,-1.531467
8093,Park County,-1.155857
8095,Phillips County,-2.190166
8097,Pitkin County,-1.346699
8099,Prowers County,-1.233189
8101,Pueblo County,0.3095024
8103,Rio Blanco County,-2.575788
8105,Rio Grande County,0.9820064
8107,Routt County,-1.202837
8109,Saguache County,3.246148
8111,San Juan County,-2.379837
8113,San Miguel County,-1.725815
8115,Sedgwick County,-2.978505
8117,Summit County,-1.458405
8119,Teller County,-0.7945175
8121,Washington County,-1.234958
8123,Weld County,-1.11501
8125,Yuma County,-1.112529
9000,Connecticut,1.154729
9001,Fairfield County,1.241433
9003,Hartford County,1.530014
9005,Litchfield County,0.5799364
9007,Middlesex County,0.4800501
9009,New Haven County,1.227185
9011,New London County,0.6993967
9013,Tolland County,0.7502294
9015,Windham County,0.7643433
10000,Delaware,0.9453681
10001,Kent County,1.739022
10003,New Castle County,1.573938
10005,Sussex County,-0.9789833
11000,District of Columbia,2.339433
11001,District of Columbia,2.339288
12000,Florida,0.7379833
12001,Alachua County,0.3857994
12003,Baker County,-1.49007
12005,Bay County,-0.2840629
12007,Bradford County,-1.681927
12009,Brevard County,0.6840991
12011,Broward County,0.8254612
12013,Calhoun County,-2.189466
12015,Charlotte County,-0.2878165
12017,Citrus County,-0.633015
12019,Clay County,-0.1282456
12021,Collier County,-0.7157998
12023,Columbia County,-0.4536853
12027,DeSoto County,-2.301841
12029,Dixie County,-2.253064
12031,Duval County,0.6444117
12033,Escambia County,0.0912741
12035,Flagler County,-1.233663
12037,Franklin County,-1.925736
12039,Gadsden County,-1.136837
12041,Gilchrist County,-2.738057
12043,Glades County,-1.743545
12045,Gulf County,-0.5378686
12047,Hamilton County,-1.241871
12049,Hardee County,-0.9958715
12051,Hendry County,-0.956279
12053,Hernando County,-0.270647
12055,Highlands County,-0.7021106
12057,Hillsborough County,1.07121
12059,Holmes County,-1.561217
12061,Indian River County,-0.2971684
12063,Jackson County,-0.6481189
12065,Jefferson County,-0.6057042
12067,Lafayette County,-2.528438
12069,Lake County,-0.4388461
12071,Lee County,-0.2848407
12073,Leon County,0.5593106
12075,Levy County,-1.136195
12077,Liberty County,-1.301955
12079,Madison County,0.2003498
12081,Manatee County,-0.4648069
12083,Marion County,-0.2615848
12085,Martin County,-0.2911622
12086,Miami-Dade County,0.7300541
12087,Monroe County,-1.297273
12089,Nassau County,-0.79489
12091,Okaloosa County,0.2058487
12093,Okeechobee County,-0.4174258
12095,Orange County,0.2919726
12097,Osceola County,-0.0682917
12099,Palm Beach County,0.4981721
12101,Pasco County,0.0171282
12103,Pinellas County,0.8875405
12105,Polk County,-0.0296764
12107,Putnam County,-0.789327
12109,St. Johns County,-0.4310495
12111,St. Lucie County,-0.0652606
12113,Santa Rosa County,-0.7120916
12115,Sarasota County,0.2634317
12117,Seminole County,0.6810945
12119,Sumter County,-0.8978339
12121,Suwannee County,-1.526751
12123,Taylor County,-0.8940625
12125,Union County,-1.242448
12127,Volusia County,0.0486838
12129,Wakulla County,-1.881949
12131,Walton County,-0.9432988
12133,Washington County,-0.0748842
13000,Georgia,0.8129339
13001,Appling County,-0.1706087
13003,Atkinson County,3.121396
13005,Bacon County,-0.45094
13007,Baker County,-6.108081
13009,Baldwin County,0.8925228
13011,Banks County,1.861807
13013,Barrow County,0.279449
13015,Bartow County,-0.7768966
13017,Ben Hill County,0.1536538
13019,Berrien County,-1.955083
13021,Bibb County,0.4704011
13023,Bleckley County,-2.706063
13025,Brantley County,2.149472
13027,Brooks County,1.684628
13029,Bryan County,0.3825682
13031,Bulloch County,0.0733273
13033,Burke County,1.278479
13035,Butts County,0.0014552
13037,Calhoun County,1.912916
13039,Camden County,0.6813273
13043,Candler County,0.2010463
13045,Carroll County,-0.2863544
13047,Catoosa County,1.749031
13049,Charlton County,0.4635714
13051,Chatham County,-0.3132868
13053,Chattahoochee County,2.600244
13055,Chattooga County,0.8958367
13057,Cherokee County,0.0548792
13059,Clarke County,0.5652549
13061,Clay County,1.72543
13063,Clayton County,-0.0422676
13065,Clinch County,-1.546688
13067,Cobb County,0.7757916
13069,Coffee County,0.2239039
13071,Colquitt County,-1.549184
13073,Columbia County,0.2747048
13075,Cook County,-0.0935098
13077,Coweta County,0.1934889
13079,Crawford County,-2.822924
13081,Crisp County,1.822372
13083,Dade County,1.245827
13085,Dawson County,0.4800913
13087,Decatur County,0.6205941
13089,DeKalb County,1.197036
13091,Dodge County,-0.3850453
13093,Dooly County,0.0875089
13095,Dougherty County,0.0736771
13097,Douglas County,-0.2145996
13099,Early County,0.3187307
13101,Echols County,-3.617044
13103,Effingham County,-1.191764
13105,Elbert County,-0.6882291
13107,Emanuel County,-0.4603403
13109,Evans County,1.342968
13111,Fannin County,1.139252
13113,Fayette County,0.5310706
13115,Floyd County,0.2612433
13117,Forsyth County,0.7260135
13119,Franklin County,0.7384416
13121,Fulton County,1.626205
13123,Gilmer County,1.408583
13125,Glascock County,-3.617044
13127,Glynn County,-0.6003892
13129,Gordon County,0.2301379
13131,Grady County,1.207475
13133,Greene County,-0.0325335
13135,Gwinnett County,1.069969
13137,Habersham County,0.2845266
13139,Hall County,-0.2917862
13141,Hancock County,-1.732317
13143,Haralson County,0.6278592
13145,Harris County,1.100874
13147,Hart County,1.691569
13149,Heard County,2.789932
13151,Henry County,-0.2424881
13153,Houston County,0.8388379
13155,Irwin County,-0.0904559
13157,Jackson County,-0.4409128
13159,Jasper County,-0.3389623
13161,Jeff Davis County,-0.768988
13163,Jefferson County,-1.635901
13165,Jenkins County,-2.3822
13167,Johnson County,1.359875
13169,Jones County,-1.302164
13171,Lamar County,2.270368
13173,Lanier County,-3.270761
13175,Laurens County,0.3943397
13177,Lee County,0.099726
13179,Liberty County,-0.6045507
13181,Lincoln County,-1.844252
13183,Long County,-2.48335
13185,Lowndes County,-0.2880555
13187,Lumpkin County,-1.447126
13189,McDuffie County,1.643053
13191,McIntosh County,-2.346641
13193,Macon County,0.8740451
13195,Madison County,1.049557
13197,Marion County,2.796239
13199,Meriwether County,0.5754818
13201,Miller County,-1.423652
13205,Mitchell County,1.724973
13207,Monroe County,-0.4730224
13209,Montgomery County,-0.1276687
13211,Morgan County,0.4852822
13213,Murray County,-0.9651425
13215,Muscogee County,0.818949
13217,Newton County,0.0637353
13219,Oconee County,0.842432
13221,Oglethorpe County,1.412268
13223,Paulding County,0.1352857
13225,Peach County,0.2111504
13227,Pickens County,-0.7470298
13229,Pierce County,-2.243658
13231,Pike County,0.2300992
13233,Polk County,1.14113
13235,Pulaski County,0.1338731
13237,Putnam County,-2.064798
13239,Quitman County,-3.617044
13241,Rabun County,0.4708848
13243,Randolph County,1.564582
13245,Richmond County,0.6453295
13247,Rockdale County,0.4485793
13249,Schley County,-3.617044
13251,Screven County,-0.8199877
13253,Seminole County,-0.2928144
13255,Spalding County,0.3448141
13257,Stephens County,1.894027
13259,Stewart County,3.579288
13261,Sumter County,0.3703775
13263,Talbot County,-4.120901
13265,Taliaferro County,-3.617044
13267,Tattnall County,1.405566
13269,Taylor County,3.128655
13271,Telfair County,2.21222
13273,Terrell County,-2.065477
13275,Thomas County,0.0790115
13277,Tift County,-0.666125
13279,Toombs County,0.4050978
13281,Towns County,-0.1254304
13283,Treutlen County,2.216651
13285,Troup County,-0.4514008
13287,Turner County,-0.2733313
13289,Twiggs County,3.07061
13291,Union County,1.881543
13293,Upson County,1.760488
13295,Walker County,0.6879302
13297,Walton County,0.1848084
13299,Ware County,0.3101163
13301,Warren County,1.217795
13303,Washington County,1.292944
13305,Wayne County,-0.2536045
13307,Webster County,-3.617044
13309,Wheeler County,-1.482448
13311,White County,-1.065117
13313,Whitfield County,-0.6418763
13315,Wilcox County,3.005186
13317,Wilkes County,-2.223872
13319,Wilkinson County,0.6309537
13321,Worth County,1.5866
15000,Hawaii,0.2347143
15001,Hawaii County,0.0343511
15003,Honolulu County,0.4758773
15007,Kauai County,-0.0767079
15009,Maui County,-0.0318035
16000,Idaho,0.4952719
16001,Ada County,0.8809481
16003,Adams County,-0.0262756
16005,Bannock County,0.8582664
16007,Bear Lake County,-1.216104
16009,Benewah County,-1.315565
16011,Bingham County,-1.139186
16013,Blaine County,-0.605925
16015,Boise County,-1.485138
16017,Bonner County,-0.5598904
16019,Bonneville County,0.3864377
16021,Boundary County,-0.8680934
16023,Butte County,1.36387
16025,Camas County,0.5340804
16027,Canyon County,-1.019517
16029,Caribou County,-1.056885
16031,Cassia County,0.2307664
16033,Clark County,4.080922
16035,Clearwater County,0.9199214
16037,Custer County,-1.56439
16039,Elmore County,0.4822538
16041,Franklin County,-0.4110247
16043,Fremont County,-0.2541272
16045,Gem County,-1.31411
16047,Gooding County,0.4606327
16049,Idaho County,-1.451653
16051,Jefferson County,-0.8791544
16053,Jerome County,-0.1314576
16055,Kootenai County,0.2163206
16057,Latah County,0.5580021
16059,Lemhi County,-0.5825603
16061,Lewis County,0.1655841
16063,Lincoln County,0.9192038
16065,Madison County,0.8383602
16067,Minidoka County,-1.397684
16069,Nez Perce County,-0.5893242
16071,Oneida County,-2.097873
16073,Owyhee County,0.9559264
16075,Payette County,1.101445
16077,Power County,-1.294657
16079,Shoshone County,-1.311654
16081,Teton County,-1.136847
16083,Twin Falls County,-0.6496406
16085,Valley County,-2.061306
16087,Washington County,-1.976211
17000,Illinois,0.9887875
17001,Adams County,-0.1559646
17003,Alexander County,-2.618162
17005,Bond County,-1.990749
17007,Boone County,-1.057326
17009,Brown County,-1.255909
17011,Bureau County,-0.9969225
17013,Calhoun County,1.095041
17015,Carroll County,0.8555685
17017,Cass County,1.151762
17019,Champaign County,0.39986
17021,Christian County,-1.06738
17023,Clark County,1.579699
17025,Clay County,-1.49928
17027,Clinton County,-0.5342712
17029,Coles County,-0.7067456
17031,Cook County,1.274891
17033,Crawford County,0.6105263
17035,Cumberland County,-0.058428
17037,DeKalb County,0.3561655
17039,De Witt County,-1.199265
17041,Douglas County,-0.5459959
17043,DuPage County,1.311464
17045,Edgar County,0.7380425
17047,Edwards County,-2.638654
17049,Effingham County,-0.2216769
17051,Fayette County,-1.386681
17053,Ford County,0.9714659
17055,Franklin County,-1.307135
17057,Fulton County,-0.3499422
17059,Gallatin County,-0.3680869
17061,Greene County,1.204513
17063,Grundy County,-0.9640273
17065,Hamilton County,0.1667506
17067,Hancock County,-1.747204
17069,Hardin County,-1.341909
17071,Henderson County,1.00973
17073,Henry County,0.3784142
17075,Iroquois County,-0.5411388
17077,Jackson County,0.486888
17079,Jasper County,-2.066967
17081,Jefferson County,-0.082324
17083,Jersey County,-1.586941
17085,Jo Daviess County,-1.007965
17087,Johnson County,1.926286
17089,Kane County,0.2800123
17091,Kankakee County,0.1349765
17093,Kendall County,-0.9204745
17095,Knox County,-0.1724157
17097,Lake County,0.994593
17099,LaSalle County,0.0630399
17101,Lawrence County,1.825739
17103,Lee County,0.5744398
17105,Livingston County,-1.002123
17107,Logan County,0.1369511
17109,McDonough County,-0.8699994
17111,McHenry County,0.0225738
17113,McLean County,0.1686149
17115,Macon County,-0.7464593
17117,Macoupin County,-1.213339
17119,Madison County,-0.2017695
17121,Marion County,0.01851
17123,Marshall County,0.3033382
17125,Mason County,-0.9513226
17127,Massac County,-1.353207
17129,Menard County,-1.445713
17131,Mercer County,-1.89261
17133,Monroe County,-0.952973
17135,Montgomery County,-0.8771364
17137,Morgan County,0.0725294
17139,Moultrie County,-0.7914574
17141,Ogle County,-0.3369472
17143,Peoria County,1.213428
17145,Perry County,-0.7174146
17147,Piatt County,-0.2454357
17149,Pike County,-1.343084
17151,Pope County,1.141336
17153,Pulaski County,-0.5032759
17155,Putnam County,-2.470907
17157,Randolph County,-0.2934855
17159,Richland County,-1.100862
17161,Rock Island County,1.227239
17163,St. Clair County,0.6464558
17165,Saline County,-1.103489
17167,Sangamon County,1.085867
17169,Schuyler County,-1.924684
17171,Scott County,-1.48366
17173,Shelby County,0.0968849
17175,Stark County,-2.863686
17177,Stephenson County,0.1846219
17179,Tazewell County,-0.3312525
17181,Union County,-0.2660111
17183,Vermilion County,0.6414422
17185,Wabash County,2.046477
17187,Warren County,-1.283258
17189,Washington County,-0.8895715
17191,Wayne County,-1.381765
17193,White County,0.127555
17195,Whiteside County,-0.6501221
17197,Will County,-0.1546627
17199,Williamson County,0.2719895
17201,Winnebago County,0.4061603
17203,Woodford County,-1.686742
18000,Indiana,0.4297744
18001,Adams County,-0.9283518
18003,Allen County,0.4777202
18005,Bartholomew County,0.1818104
18007,Benton County,1.669298
18009,Blackford County,-1.684063
18011,Boone County,-0.7975686
18013,Brown County,-1.529037
18015,Carroll County,-2.202311
18017,Cass County,-1.068045
18019,Clark County,-0.15729
18021,Clay County,-1.692845
18023,Clinton County,-1.332351
18025,Crawford County,-1.159225
18027,Daviess County,-1.028953
18029,Dearborn County,0.0549674
18031,Decatur County,-1.065376
18033,DeKalb County,-1.012462
18035,Delaware County,0.2849005
18037,Dubois County,0.4456388
18039,Elkhart County,-0.793944
18041,Fayette County,0.5410035
18043,Floyd County,-0.1902771
18045,Fountain County,0.5072187
18047,Franklin County,0.4694454
18049,Fulton County,-1.290768
18051,Gibson County,-0.8998213
18053,Grant County,-0.748599
18055,Greene County,-0.6505622
18057,Hamilton County,1.069824
18059,Hancock County,-1.436208
18061,Harrison County,-1.102685
18063,Hendricks County,-1.533061
18065,Henry County,-0.6194274
18067,Howard County,-0.4180014
18069,Huntington County,-1.325479
18071,Jackson County,-0.8915862
18073,Jasper County,-1.069394
18075,Jay County,1.682252
18077,Jefferson County,-1.182455
18079,Jennings County,0.0887993
18081,Johnson County,-0.1951988
18083,Knox County,0.0498308
18085,Kosciusko County,-0.3294355
18087,LaGrange County,-1.189047
18089,Lake County,0.0379797
18091,LaPorte County,-0.1102189
18093,Lawrence County,0.7354194
18095,Madison County,-0.3228054
18097,Marion County,0.9747427
18099,Marshall County,-0.1161874
18101,Martin County,2.746922
18103,Miami County,0.1554752
18105,Monroe County,0.3099734
18107,Montgomery County,-0.7802007
18109,Morgan County,-0.2639219
18111,Newton County,-1.650783
18113,Noble County,-0.5830019
18115,Ohio County,-3.617044
18117,Orange County,0.1927767
18119,Owen County,1.906576
18121,Parke County,0.8653171
18123,Perry County,-1.474938
18125,Pike County,-2.493377
18127,Porter County,-0.2410179
18129,Posey County,-1.431758
18131,Pulaski County,-0.8248752
18133,Putnam County,-1.436082
18135,Randolph County,0.4031024
18137,Ripley County,0.8223854
18139,Rush County,-0.9570702
18141,St. Joseph County,0.7289878
18143,Scott County,0.5386032
18145,Shelby County,-1.364877
18147,Spencer County,0.1625316
18149,Starke County,1.342299
18151,Steuben County,-0.45863
18153,Sullivan County,-0.770935
18155,Switzerland County,-1.177851
18157,Tippecanoe County,-0.3467513
18159,Tipton County,0.164763
18161,Union County,-2.011246
18163,Vanderburgh County,0.4927276
18165,Vermillion County,-1.85402
18167,Vigo County,-0.1049085
18169,Wabash County,0.3455676
18171,Warren County,2.171234
18173,Warrick County,-0.1482978
18175,Washington County,0.4134059
18177,Wayne County,-0.2405016
18179,Wells County,-0.0219396
18181,White County,0.2570216
18183,Whitley County,-0.1158681
19000,Iowa,0.6960925
19001,Adair County,-1.13329
19003,Adams County,-2.082265
19005,Allamakee County,-0.4025943
19007,Appanoose County,-0.3601
19009,Audubon County,0.2114812
19011,Benton County,-0.580786
19013,Black Hawk County,0.262382
19015,Boone County,0.4070345
19017,Bremer County,-0.5351281
19019,Buchanan County,0.2877331
19021,Buena Vista County,0.4855719
19023,Butler County,-0.2960665
19025,Calhoun County,0.724892
19027,Carroll County,0.1220531
19029,Cass County,0.7109153
19031,Cedar County,-0.5097002
19033,Cerro Gordo County,0.4393874
19035,Cherokee County,0.4849776
19037,Chickasaw County,-0.6668261
19039,Clarke County,0.1025678
19041,Clay County,0.4064856
19043,Clayton County,-0.1996939
19045,Clinton County,-0.3081828
19047,Crawford County,0.2463861
19049,Dallas County,1.466864
19051,Davis County,-1.244868
19053,Decatur County,-2.257366
19055,Delaware County,-0.9816321
19057,Des Moines County,0.1744411
19059,Dickinson County,-0.0038428
19061,Dubuque County,0.7271842
19063,Emmet County,-1.200206
19065,Fayette County,-0.4013066
19067,Floyd County,0.89292
19069,Franklin County,0.6581081
19071,Fremont County,1.683751
19073,Greene County,0.7668222
19075,Grundy County,-1.199471
19077,Guthrie County,1.34277
19079,Hamilton County,-0.237868
19081,Hancock County,0.2619914
19083,Hardin County,0.521066
19085,Harrison County,-0.5759908
19087,Henry County,0.3173666
19089,Howard County,0.7536794
19091,Humboldt County,0.378287
19093,Ida County,1.263131
19095,Iowa County,0.2053336
19097,Jackson County,0.3249213
19099,Jasper County,0.4069245
19101,Jefferson County,0.675985
19103,Johnson County,0.9297884
19105,Jones County,-0.9097077
19107,Keokuk County,-0.7546017
19109,Kossuth County,0.7749698
19111,Lee County,-1.078577
19113,Linn County,0.9632932
19115,Louisa County,0.889638
19117,Lucas County,-0.1713966
19119,Lyon County,0.6205721
19121,Madison County,-0.9521298
19123,Mahaska County,-0.9813173
19125,Marion County,0.6483319
19127,Marshall County,0.4019401
19129,Mills County,-0.7116391
19131,Mitchell County,-1.091217
19133,Monona County,0.6022956
19135,Monroe County,1.214096
19137,Montgomery County,0.3632489
19139,Muscatine County,0.6798052
19141,O'Brien County,0.6375057
19143,Osceola County,0.5851194
19145,Page County,0.3708025
19147,Palo Alto County,0.7698395
19149,Plymouth County,-0.7522283
19151,Pocahontas County,1.110471
19153,Polk County,1.414127
19155,Pottawattamie County,-0.3759584
19157,Poweshiek County,-1.060602
19159,Ringgold County,-1.782726
19161,Sac County,1.114957
19163,Scott County,0.4961033
19165,Shelby County,1.090737
19167,Sioux County,-1.081247
19169,Story County,0.5199726
19171,Tama County,0.75086
19173,Taylor County,0.2585711
19175,Union County,0.3533725
19177,Van Buren County,1.874841
19179,Wapello County,0.3108152
19181,Warren County,0.2331221
19183,Washington County,0.3748111
19185,Wayne County,-1.212263
19187,Webster County,0.2266178
19189,Winnebago County,0.7039519
19191,Winneshiek County,0.1382747
19193,Woodbury County,-0.3886065
19195,Worth County,0.8675497
19197,Wright County,1.157615
20000,Kansas,0.9477315
20001,Allen County,-0.8243709
20003,Anderson County,-2.757327
20005,Atchison County,-0.5358744
20007,Barber County,-0.8424374
20009,Barton County,0.1624715
20011,Bourbon County,-0.0146781
20013,Brown County,1.174796
20015,Butler County,-0.5066634
20017,Chase County,-0.0360385
20019,Chautauqua County,-0.823891
20021,Cherokee County,1.103248
